order_id,prep_time_min,delivery_time_min,total_time_min,delivery_rating,on_time
ORD0000130,43.9,28.5,72.4,5,0
ORD0000131,43.5,39.8,83.3,4,0
ORD0000132,35.2,45.3,80.5,2,0
ORD0000133,26.7,29.3,56.0,2,0
ORD0000134,25.4,29.9,55.3,4,0
ORD0000135,31.1,33.0,64.1,5,0
ORD0000136,41.4,19.1,60.5,5,0
ORD0000137,39.4,20.1,59.5,5,0
ORD0000139,31.1,41.1,72.2,5,0
ORD0000140,18.9,22.5,41.4,3,1
ORD0000141,38.3,38.9,77.19999999999999,5,0
ORD0000142,34.6,21.0,55.6,5,0
ORD0000144,26.6,30.3,56.900000000000006,5,0
ORD0000145,27.5,22.9,50.4,3,0
ORD0000147,32.3,14.3,46.599999999999994,5,0
ORD0000148,32.8,31.1,63.9,4,0
ORD0000149,39.7,32.0,71.7,4,0
ORD0000150,46.4,23.0,69.4,4,0
ORD0000151,24.7,27.1,51.8,4,0
ORD0000152,38.5,25.0,63.5,1,0
ORD0000153,45.3,16.1,61.4,4,0
ORD0000154,20.8,25.0,45.8,3,0
ORD0000156,42.3,23.1,65.4,2,0
ORD0000157,38.6,24.5,63.1,1,0
ORD0000158,25.7,33.3,59.0,5,0
ORD0000159,38.2,19.2,57.400000000000006,5,0
ORD0000160,38.2,22.2,60.400000000000006,4,0
ORD0000161,25.9,32.8,58.699999999999996,5,0
ORD0000162,42.1,42.9,85.0,5,0
ORD0000163,25.9,33.2,59.1,4,0
ORD0000164,34.5,27.5,62.0,5,0
ORD0000165,50.0,33.5,83.5,4,0
ORD0000166,23.0,23.6,46.6,3,0
ORD0000169,30.5,25.4,55.9,4,0
ORD0000170,33.8,30.8,64.6,4,0
ORD0000171,25.8,17.4,43.2,4,1
ORD0000172,26.5,38.3,64.8,5,0
ORD0000173,23.2,15.4,38.6,3,1
ORD0000176,35.6,38.5,74.1,3,0
ORD0000178,35.5,29.6,65.1,5,0
ORD0000179,50.9,23.2,74.1,4,0
ORD0000180,27.7,32.3,60.0,4,0
ORD0000181,17.6,14.2,31.8,5,1
ORD0000182,37.9,30.9,68.8,2,0
ORD0000183,21.4,29.6,51.0,4,0
ORD0000184,31.1,34.9,66.0,5,0
ORD0000186,26.5,28.4,54.9,3,0
ORD0000188,25.1,31.0,56.1,3,0
ORD0000189,27.1,16.8,43.900000000000006,5,1
ORD0000191,18.5,26.4,44.9,3,1
ORD0000192,29.5,29.6,59.1,5,0
ORD0000193,45.7,15.9,61.6,5,0
ORD0000194,45.0,20.6,65.6,1,0
ORD0000195,22.6,36.6,59.2,3,0
ORD0000196,41.1,26.3,67.4,3,0
ORD0000197,13.6,36.0,49.6,5,0
ORD0000199,34.3,42.3,76.6,5,0
ORD0000200,22.5,31.9,54.4,3,0
ORD0000201,28.0,32.6,60.6,4,0
ORD0000202,39.2,39.5,78.7,4,0
ORD0000203,31.4,23.4,54.8,5,0
ORD0000204,18.0,40.7,58.7,5,0
ORD0000205,38.0,26.4,64.4,3,0
ORD0000207,36.7,22.7,59.400000000000006,3,0
ORD0000208,42.0,24.1,66.1,4,0
ORD0000209,33.3,25.3,58.599999999999994,5,0
ORD0000210,23.0,36.3,59.3,5,0
ORD0000211,42.0,19.5,61.5,4,0
ORD0000213,30.1,39.8,69.9,4,0
ORD0000214,46.9,18.7,65.6,5,0
ORD0000215,40.7,21.8,62.5,3,0
ORD0000216,37.6,40.6,78.2,5,0
ORD0000217,41.6,22.1,63.7,5,0
ORD0000219,21.0,35.4,56.4,2,0
ORD0000220,23.2,31.1,54.3,4,0
ORD0000222,32.2,36.0,68.2,5,0
ORD0000223,15.7,30.1,45.8,5,0
ORD0000226,46.0,40.6,86.6,4,0
ORD0000228,30.9,36.0,66.9,5,0
ORD0000229,33.9,25.1,59.0,5,0
ORD0000231,40.9,23.5,64.4,2,0
ORD0000232,20.5,43.6,64.1,3,0
ORD0000233,22.4,29.6,52.0,4,0
ORD0000234,14.9,20.5,35.4,4,1
ORD0000235,33.4,41.7,75.1,3,0
ORD0000236,31.4,15.3,46.7,4,0
ORD0000237,12.5,29.4,41.9,5,1
ORD0000238,30.7,26.2,56.9,5,0
ORD0000239,40.0,31.3,71.3,3,0
ORD0000240,30.9,36.3,67.19999999999999,3,0
ORD0000241,24.3,23.6,47.900000000000006,5,0
ORD0000242,19.7,35.6,55.3,5,0
ORD0000243,22.6,43.5,66.1,5,0
ORD0000244,42.6,16.5,59.1,1,0
ORD0000245,52.9,20.4,73.3,4,0
ORD0000246,20.2,27.8,48.0,1,0
ORD0000247,37.3,22.0,59.3,3,0
ORD0000248,32.1,40.3,72.4,5,0
ORD0000249,18.1,42.8,60.9,4,0
ORD0000250,47.0,28.1,75.1,5,0
ORD0000251,22.6,24.7,47.3,5,0
ORD0000252,23.7,32.6,56.3,4,0
ORD0000253,41.4,43.1,84.5,4,0
ORD0000254,38.2,16.5,54.7,5,0
ORD0000256,33.7,42.4,76.1,4,0
ORD0000258,26.9,21.6,48.5,5,0
ORD0000259,11.0,31.7,42.7,4,1
ORD0000260,30.1,29.4,59.5,5,0
ORD0000261,35.0,33.0,68.0,4,0
ORD0000262,22.1,20.1,42.2,1,1
ORD0000263,28.3,31.2,59.5,4,0
ORD0000264,30.1,20.7,50.8,3,0
ORD0000265,31.0,35.8,66.8,4,0
ORD0000266,17.5,26.8,44.3,5,1
ORD0000267,30.9,32.3,63.199999999999996,4,0
ORD0000269,32.8,13.1,45.9,5,0
ORD0000270,40.1,29.9,70.0,3,0
ORD0000271,30.4,18.5,48.9,5,0
ORD0000272,17.8,20.7,38.5,5,1
ORD0000274,34.0,36.8,70.8,4,0
ORD0000275,36.8,30.6,67.4,4,0
ORD0000277,43.1,31.2,74.3,5,0
ORD0000278,18.7,20.0,38.7,3,1
ORD0000279,23.0,47.2,70.2,4,0
ORD0000282,45.1,27.9,73.0,5,0
ORD0000283,33.8,24.5,58.3,1,0
ORD0000284,31.1,30.7,61.8,4,0
ORD0000285,50.0,32.3,82.3,4,0
ORD0000287,30.8,25.2,56.0,4,0
ORD0000289,14.0,20.2,34.2,5,1
ORD0000290,13.5,21.9,35.4,5,1
ORD0000291,10.8,28.0,38.8,3,1
ORD0000292,42.7,27.5,70.2,4,0
ORD0000293,12.9,33.2,46.1,5,0
ORD0000294,30.3,33.9,64.2,4,0
ORD0000295,37.2,26.6,63.800000000000004,3,0
ORD0000296,40.8,31.9,72.69999999999999,5,0
ORD0000297,16.2,17.0,33.2,3,1
ORD0000299,13.4,30.2,43.6,5,1
ORD0000300,31.7,33.2,64.9,5,0
ORD0000301,16.1,24.5,40.6,5,1
ORD0000302,15.2,16.0,31.2,5,1
ORD0000304,24.6,30.3,54.900000000000006,4,0
ORD0000305,28.1,35.2,63.300000000000004,5,0
ORD0000306,23.8,28.6,52.400000000000006,1,0
ORD0000307,38.8,20.3,59.099999999999994,4,0
ORD0000308,30.7,33.5,64.2,1,0
ORD0000309,13.7,29.0,42.7,4,1
ORD0000310,38.1,24.2,62.3,5,0
ORD0000311,43.8,15.9,59.699999999999996,5,0
ORD0000312,16.5,42.5,59.0,4,0
ORD0000313,14.5,27.9,42.4,5,1
ORD0000314,43.1,25.4,68.5,4,0
ORD0000319,16.0,36.1,52.1,4,0
ORD0000320,31.1,45.4,76.5,4,0
ORD0000321,24.2,26.7,50.9,3,0
ORD0000322,38.6,23.7,62.3,5,0
ORD0000323,23.3,39.4,62.7,1,0
ORD0000324,34.3,28.7,63.0,4,0
ORD0000325,33.9,20.4,54.3,4,0
ORD0000326,30.5,23.5,54.0,5,0
ORD0000328,28.8,33.1,61.900000000000006,4,0
ORD0000329,31.7,23.8,55.5,3,0
ORD0000330,36.1,27.1,63.2,3,0
ORD0000332,43.3,29.3,72.6,4,0
ORD0000333,26.9,18.2,45.099999999999994,4,0
ORD0000334,26.4,36.0,62.4,4,0
ORD0000335,15.1,26.2,41.3,5,1
ORD0000336,17.1,27.7,44.8,2,1
ORD0000337,20.4,20.5,40.9,3,1
ORD0000338,16.1,33.7,49.800000000000004,5,0
ORD0000339,21.1,22.4,43.5,5,1
ORD0000340,37.1,41.1,78.2,4,0
ORD0000341,14.0,50.5,64.5,4,0
ORD0000342,23.4,23.1,46.5,4,0
ORD0000343,14.8,25.7,40.5,5,1
ORD0000344,16.9,32.6,49.5,3,0
ORD0000345,42.7,31.5,74.2,5,0
ORD0000346,39.7,32.3,72.0,4,0
ORD0000347,18.2,13.8,32.0,3,1
ORD0000349,20.7,34.5,55.2,2,0
ORD0000350,38.1,14.4,52.5,5,0
ORD0000351,16.9,31.5,48.4,5,0
ORD0000352,31.4,37.9,69.3,4,0
ORD0000354,23.2,36.5,59.7,5,0
ORD0000356,16.2,19.5,35.7,3,1
ORD0000357,10.0,26.9,36.9,5,1
ORD0000358,25.0,11.3,36.3,1,1
ORD0000359,36.2,25.2,61.400000000000006,4,0
ORD0000362,15.6,39.6,55.2,5,0
ORD0000363,42.9,14.2,57.099999999999994,5,0
ORD0000364,33.6,25.2,58.8,5,0
ORD0000365,14.4,28.1,42.5,5,1
ORD0000366,37.1,34.4,71.5,2,0
ORD0000367,28.9,33.4,62.3,5,0
ORD0000368,32.6,40.3,72.9,4,0
ORD0000371,17.0,15.6,32.6,4,1
ORD0000373,24.3,27.3,51.6,2,0
ORD0000374,30.0,27.5,57.5,5,0
ORD0000375,31.3,38.0,69.3,4,0
ORD0000377,20.1,23.4,43.5,2,1
ORD0000378,16.4,27.7,44.099999999999994,4,1
ORD0000379,17.0,27.1,44.1,5,1
ORD0000381,30.1,27.9,58.0,2,0
ORD0000382,44.0,33.4,77.4,4,0
ORD0000383,22.1,23.7,45.8,3,0
ORD0000384,25.6,21.3,46.900000000000006,4,0
ORD0000385,42.7,29.0,71.7,4,0
ORD0000388,27.0,25.9,52.9,4,0
ORD0000390,30.2,35.4,65.6,3,0
ORD0000392,44.0,26.7,70.7,4,0
ORD0000393,13.6,25.8,39.4,1,1
ORD0000394,30.6,14.9,45.5,1,0
ORD0000395,17.4,28.8,46.2,4,0
ORD0000396,32.6,15.8,48.400000000000006,5,0
ORD0000397,41.9,25.0,66.9,4,0
ORD0000398,20.3,38.3,58.599999999999994,3,0
ORD0000399,21.6,41.4,63.0,4,0
ORD0000400,40.2,22.5,62.7,5,0
ORD0000401,17.4,31.3,48.7,5,0
ORD0000402,46.0,28.2,74.2,5,0
ORD0000403,42.3,32.2,74.5,4,0
ORD0000404,30.9,33.6,64.5,5,0
ORD0000405,28.3,31.5,59.8,4,0
ORD0000406,26.8,27.7,54.5,5,0
ORD0000407,42.8,20.2,63.0,5,0
ORD0000408,18.0,35.1,53.1,5,0
ORD0000409,18.4,34.3,52.699999999999996,4,0
ORD0000411,31.9,29.1,61.0,1,0
ORD0000412,36.8,34.0,70.8,5,0
ORD0000413,30.2,22.5,52.7,5,0
ORD0000415,44.2,10.5,54.7,4,0
ORD0000416,38.8,25.0,63.8,5,0
ORD0000419,32.7,38.9,71.6,5,0
ORD0000420,15.7,32.5,48.2,3,0
ORD0000421,42.8,30.6,73.4,5,0
ORD0000423,28.3,18.4,46.7,4,0
ORD0000424,18.6,24.1,42.7,5,1
ORD0000425,19.6,21.2,40.8,5,1
ORD0000427,19.1,27.7,46.8,4,0
ORD0000428,32.2,52.6,84.80000000000001,5,0
ORD0000429,12.8,25.4,38.2,5,1
ORD0000430,46.3,40.9,87.19999999999999,3,0
ORD0000432,10.0,22.9,32.9,3,1
ORD0000433,17.7,23.3,41.0,4,1
ORD0000434,31.0,29.8,60.8,5,0
ORD0000436,33.2,15.9,49.1,4,0
ORD0000437,39.0,16.7,55.7,3,0
ORD0000438,23.4,15.6,39.0,5,1
ORD0000440,40.4,37.0,77.4,4,0
ORD0000441,41.9,30.0,71.9,5,0
ORD0000442,36.8,35.3,72.1,5,0
ORD0000443,24.5,38.6,63.1,4,0
ORD0000444,13.4,34.7,48.1,5,0
ORD0000445,37.6,39.4,77.0,4,0
ORD0000446,42.7,17.1,59.800000000000004,5,0
ORD0000448,31.4,31.2,62.599999999999994,5,0
ORD0000449,38.6,31.7,70.3,4,0
ORD0000450,24.5,32.7,57.2,5,0
ORD0000451,33.9,23.1,57.0,3,0
ORD0000452,36.6,27.9,64.5,4,0
ORD0000454,34.5,26.7,61.2,4,0
ORD0000455,27.2,28.6,55.8,3,0
ORD0000456,28.6,21.2,49.8,3,0
ORD0000457,37.2,36.1,73.30000000000001,5,0
ORD0000459,31.1,19.9,51.0,4,0
ORD0000460,32.0,17.8,49.8,5,0
ORD0000461,21.6,10.2,31.8,5,1
ORD0000462,17.5,30.7,48.2,5,0
ORD0000463,28.4,34.2,62.6,4,0
ORD0000464,21.4,23.2,44.599999999999994,4,1
ORD0000466,35.3,38.0,73.3,2,0
ORD0000468,28.5,29.7,58.2,4,0
ORD0000470,12.9,24.6,37.5,5,1
ORD0000471,10.5,33.9,44.4,4,1
ORD0000473,13.6,42.2,55.800000000000004,5,0
ORD0000474,10.0,32.1,42.1,5,1
ORD0000475,23.9,24.6,48.5,2,0
ORD0000476,39.7,33.0,72.7,4,0
ORD0000477,41.6,27.0,68.6,5,0
ORD0000479,11.2,21.0,32.2,5,1
ORD0000480,26.1,30.0,56.1,5,0
ORD0000481,21.2,49.6,70.8,5,0
ORD0000482,32.8,31.7,64.5,3,0
ORD0000483,25.0,21.2,46.2,5,0
ORD0000485,18.0,32.2,50.2,4,0
ORD0000486,19.7,39.2,58.900000000000006,3,0
ORD0000487,26.8,29.1,55.900000000000006,5,0
ORD0000488,31.0,48.3,79.3,4,0
ORD0000489,10.4,36.0,46.4,5,0
ORD0000490,17.7,20.1,37.8,3,1
ORD0000491,36.7,40.8,77.5,4,0
ORD0000492,36.5,35.3,71.8,3,0
ORD0000493,24.5,28.8,53.3,2,0
ORD0000494,27.0,34.7,61.7,5,0
ORD0000495,27.8,23.3,51.1,5,0
ORD0000496,38.7,39.1,77.80000000000001,5,0
ORD0000499,31.0,30.8,61.8,5,0
ORD0000500,47.4,19.0,66.4,4,0
ORD0000501,11.0,28.6,39.6,5,1
ORD0000502,24.6,17.9,42.5,4,1
ORD0000503,31.3,40.7,72.0,3,0
ORD0000504,41.7,30.9,72.6,4,0
ORD0000505,34.3,24.8,59.099999999999994,5,0
ORD0000506,29.6,50.2,79.80000000000001,3,0
ORD0000507,18.7,19.7,38.4,4,1
ORD0000508,24.0,43.2,67.2,5,0
ORD0000509,39.6,20.1,59.7,4,0
ORD0000512,18.4,34.0,52.4,5,0
ORD0000513,43.9,39.3,83.19999999999999,5,0
ORD0000515,30.8,25.0,55.8,5,0
ORD0000516,25.8,23.2,49.0,5,0
ORD0000517,35.5,24.5,60.0,4,0
ORD0000518,40.3,28.7,69.0,2,0
ORD0000519,33.6,26.8,60.400000000000006,5,0
ORD0000520,25.1,36.1,61.2,4,0
ORD0000521,12.4,36.9,49.3,4,0
ORD0000524,42.3,25.4,67.69999999999999,4,0
ORD0000525,28.7,32.0,60.7,3,0
ORD0000526,52.4,49.8,102.19999999999999,1,0
ORD0000527,19.7,37.4,57.099999999999994,4,0
ORD0000528,12.9,24.2,37.1,5,1
ORD0000529,42.8,33.8,76.6,5,0
ORD0000531,32.2,29.3,61.5,4,0
ORD0000534,30.9,24.9,55.8,4,0
ORD0000535,25.2,25.8,51.0,4,0
ORD0000536,16.6,28.2,44.8,5,1
ORD0000537,39.8,35.0,74.8,4,0
ORD0000538,39.0,22.5,61.5,5,0
ORD0000539,28.8,20.7,49.5,2,0
ORD0000540,39.7,20.5,60.2,5,0
ORD0000541,36.9,25.6,62.5,4,0
ORD0000542,30.8,35.1,65.9,4,0
ORD0000543,11.8,21.0,32.8,5,1
ORD0000544,31.9,26.9,58.8,5,0
ORD0000545,20.0,19.6,39.6,5,1
ORD0000546,12.6,20.4,33.0,4,1
ORD0000547,29.9,18.8,48.7,5,0
ORD0000548,29.2,21.1,50.3,5,0
ORD0000549,43.6,10.0,53.6,5,0
ORD0000550,50.8,19.7,70.5,5,0
ORD0000551,24.4,18.7,43.099999999999994,5,1
ORD0000552,38.5,35.7,74.2,2,0
ORD0000553,32.9,33.4,66.3,4,0
ORD0000554,33.1,18.8,51.900000000000006,5,0
ORD0000555,34.5,46.4,80.9,5,0
ORD0000556,10.7,18.0,28.7,1,1
ORD0000557,26.0,22.9,48.9,5,0
ORD0000558,49.5,35.4,84.9,3,0
ORD0000559,35.4,19.0,54.4,5,0
ORD0000560,22.3,21.3,43.6,4,1
ORD0000562,30.9,32.3,63.199999999999996,4,0
ORD0000563,34.9,26.3,61.2,5,0
ORD0000564,20.3,14.4,34.7,5,1
ORD0000565,19.8,21.5,41.3,3,1
ORD0000566,20.3,14.4,34.7,4,1
ORD0000567,28.3,31.5,59.8,3,0
ORD0000570,39.8,40.0,79.8,5,0
ORD0000571,24.7,39.4,64.1,4,0
ORD0000572,40.8,18.8,59.599999999999994,5,0
ORD0000573,18.6,25.7,44.3,4,1
ORD0000575,15.3,28.1,43.400000000000006,3,1
ORD0000576,14.9,32.8,47.699999999999996,1,0
ORD0000578,43.2,18.3,61.5,5,0
ORD0000579,22.0,39.3,61.3,4,0
ORD0000580,15.5,11.6,27.1,5,1
ORD0000581,40.3,42.0,82.3,4,0
ORD0000582,26.0,27.9,53.9,5,0
ORD0000583,36.4,28.7,65.1,5,0
ORD0000584,46.0,29.5,75.5,3,0
ORD0000585,29.2,18.9,48.099999999999994,4,0
ORD0000586,34.8,14.4,49.199999999999996,4,0
ORD0000588,37.3,12.0,49.3,5,0
ORD0000590,21.0,37.4,58.4,5,0
ORD0000591,30.4,35.9,66.3,4,0
ORD0000592,30.6,27.1,57.7,5,0
ORD0000593,34.1,29.2,63.3,5,0
ORD0000594,24.2,15.9,40.1,5,1
ORD0000595,31.5,25.7,57.2,5,0
ORD0000596,44.0,36.1,80.1,5,0
ORD0000597,28.2,18.7,46.9,2,0
ORD0000598,17.0,28.4,45.4,4,0
ORD0000599,19.8,27.6,47.400000000000006,5,0
ORD0000600,32.2,35.6,67.80000000000001,4,0
ORD0000601,41.4,14.0,55.4,4,0
ORD0000602,13.6,40.4,54.0,5,0
ORD0000604,29.0,28.2,57.2,4,0
ORD0000605,19.7,29.9,49.599999999999994,5,0
ORD0000606,16.6,24.6,41.2,5,1
ORD0000607,25.4,39.4,64.8,4,0
ORD0000609,19.9,34.7,54.6,5,0
ORD0000610,30.6,37.5,68.1,4,0
ORD0000611,33.2,32.3,65.5,5,0
ORD0000613,16.3,29.5,45.8,5,0
ORD0000615,32.6,20.8,53.400000000000006,4,0
ORD0000616,30.9,36.4,67.3,1,0
ORD0000617,36.4,20.5,56.9,5,0
ORD0000618,17.9,19.6,37.5,5,1
ORD0000619,25.9,20.3,46.2,5,0
ORD0000620,12.5,23.9,36.4,5,1
ORD0000621,36.4,37.0,73.4,4,0
ORD0000622,41.8,24.5,66.3,5,0
ORD0000625,16.2,24.3,40.5,3,1
ORD0000626,36.8,25.0,61.8,3,0
ORD0000627,33.0,32.0,65.0,5,0
ORD0000628,33.5,23.2,56.7,2,0
ORD0000629,25.8,30.8,56.6,5,0
ORD0000631,32.8,20.4,53.199999999999996,5,0
ORD0000632,15.4,32.5,47.9,5,0
ORD0000633,39.4,38.1,77.5,2,0
ORD0000634,26.9,39.5,66.4,5,0
ORD0000637,42.6,24.0,66.6,4,0
ORD0000638,24.9,22.9,47.8,3,0
ORD0000640,35.0,34.2,69.2,5,0
ORD0000641,35.5,28.8,64.3,3,0
ORD0000642,25.5,35.6,61.1,2,0
ORD0000643,13.7,31.1,44.8,4,1
ORD0000644,41.4,30.6,72.0,5,0
ORD0000645,31.7,29.2,60.9,4,0
ORD0000646,31.7,25.6,57.3,5,0
ORD0000648,29.9,29.6,59.5,2,0
ORD0000649,30.3,30.8,61.1,2,0
ORD0000650,35.1,23.8,58.900000000000006,4,0
ORD0000651,22.0,40.2,62.2,5,0
ORD0000652,36.3,31.3,67.6,2,0
ORD0000654,32.8,19.6,52.4,2,0
ORD0000655,42.0,26.8,68.8,2,0
ORD0000656,43.0,21.5,64.5,5,0
ORD0000657,32.7,43.1,75.80000000000001,4,0
ORD0000658,19.6,26.2,45.8,3,0
ORD0000659,24.5,24.6,49.1,4,0
ORD0000660,41.1,34.9,76.0,4,0
ORD0000661,22.0,24.5,46.5,3,0
ORD0000662,41.3,24.2,65.5,1,0
ORD0000663,34.1,36.5,70.6,4,0
ORD0000666,32.4,31.6,64.0,3,0
ORD0000667,20.4,27.1,47.5,5,0
ORD0000668,13.8,11.0,24.8,3,1
ORD0000671,36.4,33.3,69.69999999999999,4,0
ORD0000672,34.8,23.0,57.8,4,0
ORD0000673,27.8,32.1,59.900000000000006,3,0
ORD0000674,36.2,17.9,54.1,4,0
ORD0000676,18.7,34.4,53.099999999999994,5,0
ORD0000678,34.5,20.4,54.9,3,0
ORD0000680,40.9,26.6,67.5,4,0
ORD0000681,29.2,27.3,56.5,5,0
ORD0000682,28.5,22.4,50.9,5,0
ORD0000683,43.3,29.5,72.8,5,0
ORD0000684,27.9,30.9,58.8,4,0
ORD0000686,28.2,21.4,49.599999999999994,4,0
ORD0000687,31.1,20.5,51.6,3,0
ORD0000688,41.9,28.0,69.9,5,0
ORD0000689,23.7,20.3,44.0,2,1
ORD0000690,18.1,33.5,51.6,5,0
ORD0000691,33.2,24.6,57.800000000000004,4,0
ORD0000692,26.8,23.9,50.7,4,0
ORD0000693,46.4,10.6,57.0,4,0
ORD0000694,13.5,24.1,37.6,5,1
ORD0000696,32.5,10.0,42.5,4,1
ORD0000697,34.7,33.3,68.0,5,0
ORD0000698,22.3,19.6,41.900000000000006,4,1
ORD0000699,38.6,22.0,60.6,4,0
ORD0000700,35.4,31.9,67.3,5,0
ORD0000701,17.4,16.3,33.7,4,1
ORD0000702,10.0,33.7,43.7,5,1
ORD0000703,31.3,22.7,54.0,5,0
ORD0000704,29.8,40.0,69.8,4,0
ORD0000705,23.2,24.8,48.0,4,0
ORD0000706,51.1,35.4,86.5,4,0
ORD0000709,39.3,26.2,65.5,5,0
ORD0000710,13.9,23.3,37.2,4,1
ORD0000711,37.2,28.7,65.9,2,0
ORD0000712,11.4,23.1,34.5,3,1
ORD0000713,25.6,28.7,54.3,3,0
ORD0000716,27.7,30.8,58.5,3,0
ORD0000718,10.4,27.9,38.3,5,1
ORD0000719,35.9,33.3,69.19999999999999,5,0
ORD0000720,32.6,27.1,59.7,5,0
ORD0000721,28.0,35.6,63.6,3,0
ORD0000722,21.4,16.6,38.0,4,1
ORD0000723,21.6,40.7,62.300000000000004,5,0
ORD0000724,50.4,30.0,80.4,4,0
ORD0000725,14.2,12.7,26.9,5,1
ORD0000726,20.8,17.5,38.3,2,1
ORD0000727,35.4,10.0,45.4,5,0
